Error processing line 1: could not convert string to float: 'Longitude'
Latitude: 37.078307543223, Longitude: 82.7268357011245 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.07626113273665, Longitude: 82.72668626344641 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.07699198967793, Longitude: 82.72950067305048 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.07626113273666, Longitude: 82.72481829247027 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.07833677790761, Longitude: 82.72501754270775 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.08070481066368, Longitude: 82.71931400466057 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.07365931761769, Longitude: 82.7212068819164 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.07389318636655, Longitude: 82.7170724394892 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.072168414898336, Longitude: 82.71866644138885 --> Address: 索达东路, 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.07020980572275, Longitude: 82.72287560265508 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.06734503110293, Longitude: 82.72160538239133 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.08459316184453, Longitude: 82.71744603368447 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.09049901539592, Longitude: 82.7223525707818 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.08579185152791, Longitude: 82.72740854555724 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.083423719864655, Longitude: 82.73106976867047 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.08587956099235, Longitude: 82.73124411262826 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.086815132543656, Longitude: 82.73101995611111 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Error processing line 19: HTTPSConnectionPool(host='nominatim.openstreetmap.org', port=443): Max retries exceeded with url: /reverse?lat=37.08830621455923&lon=82.72780704603213&format=json&addressdetails=1 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000002447FEB7890>, 'Connection to nominatim.openstreetmap.org timed out. (connect timeout=1)'))
Latitude: 37.08099716357944, Longitude: 82.73052183051746 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.079067647303155, Longitude: 82.7300735174832 --> Address: 尼雅镇 نىيە بازىرى, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
Latitude: 37.07488713355824, Longitude: 82.71366027917277 --> Address: 民丰县 نىيە, 民丰县 نىيە ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国
