Longitude,Latitude,Level,geohash,place,name,street,suburb,address
74.159396,31.401636,1,ttsdxs3pz1jq,Tricon Mosque,Tricon Mosque,National Highway,Tricon Village,"Tricon Mosque, Masjid Ground National Highway, Tricon Village, Chung 53800, Pakistan"
74.169687,31.407095,2,ttsdxv2xwfzk,Jubilee Town Main Boulevard,Jubilee Town Main Boulevard,Jubilee Town Main Boulevard,Tricon Village,"Jubilee Town Main Boulevard, Tricon Village, Mohlanwal Khurd 53800, Pakistan"
74.188392,31.397072,3,ttsf85wm4y6k,Bahria Town,,,Bahria Town,"Bahria Town, Bhatti Wal 53800, Pakistan"
74.19582,31.437881,2,ttsfb75dzvv7,Green Forts 2,Green Forts 2,Green Forts 2,,"Green Forts 2, Nasir Ganj 53710, Pakistan"
74.200384,31.415776,2,ttsf8rp44m0s,Jubilee Town,,,Jubilee Town,"Jubilee Town, Musalla Abad 53800, Pakistan"
74.205933,31.410228,2,ttsf8w51gdcc,Labor Colony,,,Labor Colony,"Labor Colony, Khizrabad 53800, Pakistan"
74.207812,31.450232,4,ttsfbtk6zk57,Mohlanwal Road,Mohlanwal Road,Mohlanwal Road,Tricon Village,"Mohlanwal Road, Tricon Village, Chung 53710, Pakistan"
74.214972,31.446831,3,ttsfbu9xn4ju,Jinnah Avenue,Jinnah Avenue,Jinnah Avenue,DHA EME Sector,"Jinnah Avenue, DHA EME Sector, Khanpur 53710, Pakistan"
74.226427,31.456138,4,ttsfcn6j315t,Attock Petrol Pump,Attock Petrol Pump,Mohlanwal Road,DHA EME Sector,"Attock Petrol Pump, Mohlanwal Road, DHA EME Sector, Gopi Rai 53710, Pakistan"
74.227322,31.441998,4,ttsfc5fdvvqb,118 Raiwind Road,,Raiwind Road,,"118 Raiwind Road, Raiwind Tehsil 53710, Pakistan"
74.22862,31.466922,4,ttsg107sh5qx,M2 Motorway,M2 Motorway,M2 Motorway,Niaz Baig,"M2 Motorway, Niaz Baig, Gopi Rai 53700, Pakistan"
74.229291,31.422309,2,ttsfc0k05ygp,Khyaban-e-Jinnah,Khyaban-e-Jinnah,Khyaban-e-Jinnah,Labor Colony,"Khyaban-e-Jinnah, Labor Colony, Fateh Abad 54700, Pakistan"
74.231886,31.462045,2,ttsfcpqp8q62,Abdul Sattar Edhi Road,Abdul Sattar Edhi Road,Abdul Sattar Edhi Road,Agrics Town,"Abdul Sattar Edhi Road, Agrics Town, Katchi Kothi 53700, Pakistan"
74.233497,31.367896,2,ttsf3nr5jzeq,Raiwind Road,Raiwind Road,Raiwind Road,Fazaia Housing Scheme,"Raiwind Road, Fazaia Housing Scheme, Kot Bagh, Pakistan"
74.236137,31.486701,5,ttsg17cp76kn,Niaz Baig,,,Niaz Baig,"Niaz Baig, Gopi Rai 53700, Pakistan"
74.237838,31.489475,5,ttsg1k6r6zxg,Niaz Baig,,,Niaz Baig,"Niaz Baig, Lahore 54790, Pakistan"
74.241641,31.471621,3,ttsg13jp7xk5,Multan Road,Multan Road,Multan Road,Niaz Baig,"Multan Road, Niaz Baig, Rasoolpur 53701, Pakistan"
74.242447,31.449695,2,ttsfcmjxy2h8,Sher Brothers Rent a Car,Sher Brothers Rent a Car,Nawab Town Main Road,Nasirabad,"Sher Brothers Rent a Car, 18c Nawab Town Main Road, Nasirabad, Katchi Kothi 54000, Pakistan"
74.24549,31.424994,2,ttsfc2xzv73x,Tariq Garden,,,Tariq Garden,"Tariq Garden, Khumbe, Lahore District, Pakistan"
74.248711,31.394118,2,ttsf9e47brgf,140-A1 Valencia Town,,Valencia Town,,"140-A1 Valencia Town, Model Town Tehsil 54700, Pakistan"
74.25784,31.369865,1,ttsf3y8ytndx,138 Sector A,,Sector A,,"138 Sector A, Model Town Tehsil, Pakistan"
74.258735,31.435197,2,ttsfcf9e3cmg,Khyaban-e-Jinnah,Khyaban-e-Jinnah,Khyaban-e-Jinnah,Wapda Town,"Khyaban-e-Jinnah, Wapda Town, Khumbe 54782, Pakistan"
74.258824,31.486119,2,ttsg1gceujbx,Zuflah International Co.,Zuflah International Co. ,Multan Road,Awan Town,"Zuflah International Co. , 30 Islam Block Multan Road, Awan Town, Lahore 54790, Pakistan"
74.262314,31.409064,4,ttsf9vu5j3gj,Naz Town,,,Naz Town,"Naz Town, Model Town Tehsil 54700, Pakistan"
74.262717,31.53288,4,ttsg3ukkqdzs,Lahore 54786,,,,"Lahore 54786, Pakistan"
74.262762,31.538742,3,ttsg3vkqrz8g,Talal Packers And Movers Home Shifting Services,Talal Packers And Movers Home Shifting Services,To From Moterway Exit,Sabzazar,"Talal Packers And Movers Home Shifting Services, Plot 43 To From Moterway Exit, Sabzazar, Lahore 54000, Pakistan"
74.264104,31.389912,4,ttsf9fm7rp9z,Sadhoke,,,Sadhoke,"Sadhoke, Model Town Tehsil 54700, Pakistan"
74.264373,31.458823,3,ttsfcyvsvmdj,Nazaria-e-Pakistan Avenue,Nazaria-e-Pakistan Avenue,Nazaria-e-Pakistan Avenue,,"Nazaria-e-Pakistan Avenue, Rasoolpur 54782, Pakistan"
74.26585,31.511133,4,ttsg3bqtxszj,Awan Town,,,Awan Town,"Awan Town, Lahore 54572, Pakistan"
74.268579,31.53731,5,ttsg6j0wpkdq,Lahore 54500,,,,"Lahore 54500, Pakistan"
74.269832,31.447547,2,ttsffhcehx8e,Nazaria-e-Pakistan Avenue,Nazaria-e-Pakistan Avenue,Nazaria-e-Pakistan Avenue,PIA Housing Society,"Nazaria-e-Pakistan Avenue, PIA Housing Society, Model Town Tehsil 54770, Pakistan"
74.269922,31.469294,5,ttsg40c9yte6,Rasoolpur 54782,,,,"Rasoolpur 54782, Pakistan"
74.270369,31.520933,5,ttsg644n9p9n,Fam Flats,Fam Flats,To From Moterway Exit,Saeed Pur,"Fam Flats, 42 To From Moterway Exit, Saeed Pur, Lahore 54500, Pakistan"
74.270817,31.551249,2,ttsg6pdr77nf,Service Road,Service Road,Service Road,Gulshan-e-Ravi,"Service Road, Gulshan-e-Ravi, Lahore 54500, Pakistan"
74.271891,31.509209,3,ttsg6054kqpx,Fazl Haq Road,Fazl Haq Road,Fazl Haq Road,Awan Town,"Fazl Haq Road, Awan Town, Lahore 54570, Pakistan"
74.275828,31.46115,3,ttsffpq42prv,Arhamsoft Pvt Ltd,Arhamsoft Pvt Ltd,Johar Town Main Boulevard,Johar Town,"Arhamsoft Pvt Ltd, 17-N Johar Town Main Boulevard, Johar Town, Lahore 54000, Pakistan"
74.277081,31.45578,2,ttsffnqgjqqn,Gossip Garden GG Café & Restaurant,Gossip Garden GG Café & Restaurant,Shadewal Road,Johar Town,"Gossip Garden GG Café & Restaurant, 28 A Shadewal Road, Johar Town, Lahore 54770, Pakistan"
74.278782,31.534804,5,ttsg6k8pt19f,11 Street 7,,Street 7,Kot Kamboh,"11 Street 7, Kot Kamboh, Lahore 54500, Pakistan"
74.279319,31.508314,3,ttsg4rbt1x6k,Mustafa Town,,,Mustafa Town,"Mustafa Town, Lahore, Lahore District, Pakistan"
74.279319,31.419624,4,ttsfdrb89dd2,Model Town Tehsil 54700,,,,"Model Town Tehsil 54700, Pakistan"
74.279587,31.473053,4,ttsg432xzf68,Shofait to Wafaqi Colony,Shofait to Wafaqi Colony,Shofait to Wafaqi Colony,Johar Town,"Shofait to Wafaqi Colony, Johar Town, Samsani Khui 54782, Pakistan"
74.281108,31.458689,2,ttsffqcu5k8u,Shaukat Khanm Road,Shaukat Khanm Road,Shaukat Khanm Road,Johar Town,"Shaukat Khanm Road, Johar Town, Samsani Khui 55800, Pakistan"
74.282496,31.502094,3,ttsg4qfbgxgm,Wahdat Road,Wahdat Road,Wahdat Road,,"Wahdat Road, Model Town Tehsil 54570, Pakistan"
74.282988,31.550175,2,ttsg6re1p4fk,Gulshan-e-Ravi Road,Gulshan-e-Ravi Road,Gulshan-e-Ravi Road,Gulshan-e-Ravi,"Gulshan-e-Ravi Road, Gulshan-e-Ravi, Lahore 54500, Pakistan"
74.283614,31.525407,4,ttsg6758v9v7,Pakistan State Oil,Pakistan State Oil,Multan Road,Allama Iqbal Town,"Pakistan State Oil, Multan Road, Allama Iqbal Town, Lahore 54786, Pakistan"
74.284151,31.388167,2,ttsfd6h164mv,Sadhoke,,,Sadhoke,"Sadhoke, Halloki 54700, Pakistan"
74.284174,31.572504,1,ttsgd7s54tq9,Sagian Wala Bypass Road,Sagian Wala Bypass Road,Sagian Wala Bypass Road,Islampura,"Sagian Wala Bypass Road, Islampura, Lahore 54500, Pakistan"
74.284241,31.512341,4,ttsg62shsq0s,Govt. Islamia College of Commerce,Govt. Islamia College of Commerce,Fazl Haq Road,Allama Iqbal Town,"Govt. Islamia College of Commerce, Fazl Haq Road, Allama Iqbal Town, Model Town Tehsil 54570, Pakistan"
