Longitude,Latitude,Level
8272683.57011245,3707830.7543222997,5
8272668.626344641,3707626.113273665,5
8272950.067305048,3707699.198967793,5
8272481.829247028,3707626.1132736662,5
8272501.754270774,3707833.677790761,5
8271931.4004660575,3708070.481066368,5
8272120.68819164,3707365.931761769,5
8271707.24394892,3707389.3186366544,3
8271866.644138885,3707216.8414898333,3
8272287.5602655085,3707020.980572275,5
8272160.538239133,3706734.5031102933,5
8271744.603368446,3708459.316184453,5
8272235.257078179,3709049.901539592,5
8272740.854555723,3708579.1851527905,5
8273106.976867046,3708342.3719864655,5
8273124.411262826,3708587.956099235,5
8273101.995611111,3708681.5132543654,5
8272780.704603213,3708830.621455923,5
8273052.183051746,3708099.716357944,5
8273007.35174832,3707906.7647303157,5
8271366.027917277,3707488.7133558244,4
8271358.556033371,3708184.499100352,5
8271779.472159998,3709070.3678822024,3
8271717.206460788,3709780.8636721787,2
8269276.391051957,3707325.0048387554,1
8272564.019969974,3710400.7539477516,3
8270895.299231286,3711547.0493086367,1
8271383.462313052,3712114.3884811727,1
8271373.499801183,3710058.64078903,2
8270818.089764273,3708050.0164040145,3
8271978.722397449,3705939.4172821725,3
8271649.959505648,3705080.081379019,5
8271246.477774802,3703349.901730835,5
8267789.486154948,3704548.141897013,2
8269144.387769645,3704407.854034042,2
8270464.4205927905,3703642.1445705816,2
8272994.898608476,3703387.892903871,1
8272720.929531976,3704247.1095092623,1
8274942.569679605,3707707.969280552,5
8273747.06825487,3707801.5196762844,5
8273149.3175425045,3707029.750396761,5
8273109.467495012,3706503.572100749,5
8275042.194798331,3706082.6458243686,5
8274334.856455363,3705790.3444649884,5
8274145.568729781,3706503.572100749,5
8275689.758070061,3704551.0645779944,3
8275948.783378754,3706246.33764841,3
8277582.635325888,3704819.9542263173,1
8276616.27167423,3703627.532262221,1
8275689.758070061,3702423.538222219,1
8273986.168539816,3700343.129650819,3
8273876.580909215,3700541.8050327697,3
8275719.64560568,3699945.788592423,4
8276745.784328574,3699501.7168390066,4
8277373.422576559,3701757.301349943,2
8276915.147030412,3701991.0645288206,2
8276297.471294301,3700693.7354491334,3
8273587.668064906,3703545.703659048,2
8272860.404698192,3701885.870543867,4
8271226.552751056,3701885.870543867,4
8269214.125352756,3701172.9130030726,4
8270140.638956924,3700249.6364729092,5
8267540.423358131,3702727.4478309606,5
8268676.149711627,3702400.160873717,5
8266892.860086401,3702914.4728934155,3
8267739.673595586,3700588.5526516656,5
8267909.036297424,3699057.6612454527,3
8268735.924782864,3698940.807195813,3
8269283.862935866,3699466.6592309684,4
8270280.114123144,3696160.010901681,2
8266454.509563997,3696043.184585146,2
8264541.707284426,3694150.7539298125,3
8267689.861036222,3693847.0577918743,5
8268765.812318482,3694337.647613304,4
8268347.3868198255,3692784.180750289,3
8267072.185300111,3692480.5185751338,3
8271854.190999042,3693625.130772663,4
8272013.591189007,3694793.2129459665,4
8271575.240666604,3696124.9628893663,3
8272153.066355225,3696744.159250499,3
8272930.142281301,3697865.802429844,2
8273707.218207379,3695260.477091096,4
8272720.929531974,3693216.3283941,2
8270529.176919961,3691627.968949486,4
8271116.965120455,3692036.7181984405,4
8269672.400898903,3691744.7530544163,4
8262947.705384781,3690285.031924244,4
8262848.080266052,3692130.1485174983,4
8260775.877796515,3691359.3697423087,4
8284118.0431144275,3703218.3947382728,4
8286060.732929619,3707427.3224040996,2
8280033.413246591,3705989.108626498,2
8280093.188317827,3708748.7579035573,4
8277423.235135925,3710210.6898948913,4
8282344.716001076,3711076.2363645937,4
8282673.478892876,3709239.9474728312,3
8275281.295083279,3710818.905309769,3
8274085.793658546,3711006.0546282968,3
8276456.871484267,3707719.663040727,3
8277483.010207162,3706866.048047215,3
8282434.378607931,3712187.501123115,1
8284825.381457398,3712351.2750351173,1
8286160.358048348,3709473.854231777,1
8285184.031884817,3703066.4328689133,2
8285861.482692164,3693473.288292579,3
8280133.038365317,3694734.806184618,3
8280481.726280864,3692819.2191791204,3
8279146.749689912,3692795.8602154036,4
8278658.586608147,3694162.4347012653,4
8277004.809637266,3691149.1657838216,4
8279525.32514108,3692048.3969492633,3
8281517.827515634,3691476.1512811044,5
